vol_regime,trend_regime,session_regime,event_type,event_direction,horizon,n,hit_rate,expectancy,exp_brl,sharpe,max_dd,pf,p_binom,p_binom_fdr,fdr_significant
LOW,TREND_UP,CLOSING,INITIATION,BULLISH,15,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BULLISH,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BEARISH,3,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BEARISH,5,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BEARISH,7,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BEARISH,10,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BEARISH,15,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,BEARISH,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,NEUTRAL,3,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,NEUTRAL,5,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,NEUTRAL,7,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,NEUTRAL,10,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,NEUTRAL,15,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,INITIATION,NEUTRAL,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BULLISH,3,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BULLISH,5,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BULLISH,7,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BULLISH,10,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BULLISH,15,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BULLISH,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BEARISH,3,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BEARISH,5,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BEARISH,7,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BEARISH,10,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BEARISH,15,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,BEARISH,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,NEUTRAL,3,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,NEUTRAL,5,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,NEUTRAL,7,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,NEUTRAL,10,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,NEUTRAL,15,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,ABSORPTION,NEUTRAL,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BULLISH,3,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BULLISH,5,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BULLISH,7,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BULLISH,10,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BULLISH,15,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BULLISH,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BEARISH,3,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BEARISH,5,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BEARISH,7,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BEARISH,10,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BEARISH,15,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,BEARISH,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,NEUTRAL,3,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,NEUTRAL,5,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,NEUTRAL,7,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,NEUTRAL,10,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,NEUTRAL,15,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,EXHAUSTION,NEUTRAL,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BULLISH,3,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BULLISH,5,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BULLISH,7,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BULLISH,10,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BULLISH,15,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BULLISH,20,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BEARISH,3,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BEARISH,5,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BEARISH,7,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BEARISH,10,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BEARISH,15,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,BEARISH,20,0,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,NEUTRAL,3,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,NEUTRAL,5,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,NEUTRAL,7,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,NEUTRAL,10,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,NEUTRAL,15,1,,,,,,,,,False
LOW,TREND_UP,CLOSING,NONE,NEUTRAL,20,1,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BULLISH,3,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BULLISH,5,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BULLISH,7,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BULLISH,10,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BULLISH,15,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BULLISH,20,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BEARISH,3,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BEARISH,5,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BEARISH,7,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BEARISH,10,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BEARISH,15,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,BEARISH,20,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,NEUTRAL,3,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,NEUTRAL,5,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,NEUTRAL,7,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,NEUTRAL,10,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,NEUTRAL,15,0,,,,,,,,,False
LOW,RANGE,OPENING,INITIATION,NEUTRAL,20,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BULLISH,3,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BULLISH,5,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BULLISH,7,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BULLISH,10,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BULLISH,15,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BULLISH,20,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BEARISH,3,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BEARISH,5,0,,,,,,,,,False
